# Custom file text saved

48
	-96,000000 -96,000000 30,000000
	-96,000000 -64,000000 30,000000
	-96,000000 -32,000000 30,000000
	-96,000000 0,000000 30,000000
	-96,000000 32,000000 30,000000
	-96,000000 64,000000 30,000000
	-96,000000 96,000000 30,000000
	-64,000000 -96,000000 30,000000
	-64,000000 -64,000000 30,000000
	-64,000000 -32,000000 30,000000
	-64,000000 0,000000 30,000000
	-64,000000 32,000000 30,000000
	-64,000000 64,000000 30,000000
	-64,000000 96,000000 30,000000
	-32,000000 -96,000000 30,000000
	-32,000000 -64,000000 30,000000
	-32,000000 -32,000000 30,000000
	-32,000000 0,000000 30,000000
	-32,000000 32,000000 30,000000
	-32,000000 64,000000 30,000000
	-32,000000 96,000000 30,000000
	0,000000 -96,000000 30,000000
	0,000000 -64,000000 30,000000
	0,000000 -32,000000 30,000000
	0,000000 32,000000 30,000000
	0,000000 64,000000 30,000000
	0,000000 96,000000 30,000000
	32,000000 -96,000000 30,000000
	32,000000 -64,000000 30,000000
	32,000000 -32,000000 30,000000
	32,000000 0,000000 30,000000
	32,000000 32,000000 30,000000
	32,000000 64,000000 30,000000
	32,000000 96,000000 30,000000
	64,000000 -96,000000 30,000000
	64,000000 -64,000000 30,000000
	64,000000 -32,000000 30,000000
	64,000000 0,000000 30,000000
	64,000000 32,000000 30,000000
	64,000000 64,000000 30,000000
	64,000000 96,000000 30,000000
	96,000000 -96,000000 30,000000
	96,000000 -64,000000 30,000000
	96,000000 -32,000000 30,000000
	96,000000 0,000000 30,000000
	96,000000 32,000000 30,000000
	96,000000 64,000000 30,000000
	96,000000 96,000000 30,000000

0,000000 0,000000 0 0 0 0 0 0

